1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17.a,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,version
19131,1,0,73:Woman,Social worker,1 to 3 years,Retired,No,A.A.,English,I have no special dietary needs,Very satisfied,5-6 meals,100%,n/a,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure,I have access to more nutritious food,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own",[List],Almond Milk,"Yes, my food needs are being met",,"Food stamps (SNAP),Social Security",No,Never true,Never true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a,A
19123,1,0,82:Woman,Friend or neighbor (word of mouth),Less than one year,Retired,No,"""Phila"" (Phillipines?)",English,I have no special dietary needs,n/a,n/a,n/a,This is my first time getting the box,n/a,No,,n/a,n/a,Social Security,Yes,Sometimes true,Sometimes true,Don't know,n/a,n/a,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,This is my first time ,A
19131,1,0,85:Woman,Social worker,1 to 3 years,Retired,No,United States,English,I have no special dietary needs,Satisfied,5-6 meals,100%,,I have enough food to eat each month,No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,Supplemental Security Income (SSI),PCA Services",Yes,Never true,Never true,No,No,No,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,n/a,A
19115,2,0,"87:Man,38:Woman",Social worker,5 to 10 years,Retired,No,United States,English,I have no special dietary needs,Satisfied,3-4 meals,75%,"Cooking oil, light meat tuna, prunes",I have access to more nutritious food,[List],Soy Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,PCA Services,Kosher or other Meals on Wheels",Yes,Sometimes true,Never true,No,No,No,[List],Yes,Yes,No,No,Yes,n/a,A
1952,None,None,n/a,Social worker,1 to 3 years,Retired,No,United States,English,Low salt,Satisfied,5-6 meals,75%,n/a,I am able to pay my other bills (medical etc.),No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,Supplemental Security Income (SSI),Disability (SSD)",Yes,Never true,Sometimes true,No,No,No,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,n/a,A
19116,1,0,87:Woman,Social worker,1 to 3 years,Retired,No,n/a,English,I have no special dietary needs,Satisfied,3-4 meals,75%,n/a,n/a,No,,"Yes, my food needs are being met",n/a,Food stamps (SNAP),No,Never true,n/a,No,No,No,,I do not identify as Jewish,I do not identify as Jewish,No,No,No,n/a,A
19115,2,0,":Man,:Woman",Social worker,3 to 5 years,Disabled,No,Albania,n/a,Low sugar (diabetic),Satisfied,1-2 meals,100%,,I have enough food to eat each month,[List],"Almond Milk,Coconut Milk,Rice Milk,Soy Milk","Yes, my food needs are being met",I have dietary restrictions (diabetes etc.),Food stamps (SNAP),No,Don't know,Don't know,Don't know,Don't know,Don't know,[List],Yes,Yes,No,No,Yes,n/a,A
19116,1,0,88:Woman,Social worker,1 to 3 years,"Unemployed,Retired",No,Phils,English,"Low salt,Low cholesterol,Low fat",Neutral,1-2 meals,25%,Can goods,"I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own,I am unable to get to the grocery store due to lack of transportation and JRA brings me food that I am unable to get on my own",No,,"Yes, my food needs are being met",n/a,I do not receive benefits from other agencies or individuals,Yes,Never true,Never true,No,No,No,[List],No,Yes,No,No,Yes,n/a,A
19104,1,0,66:Woman,Friend or neighbor (word of mouth),1 to 3 years,Disabled,No,Phila,English,"Low salt,Low sugar (diabetic)",Very satisfied,5-6 meals,100%,n/a,"I have enough food to eat each month,I am able to pay my other bills (medical etc.)",[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),JEVS,Energy Assistance (LIHEAP)",Yes,Sometimes true,Don't know,No,No,No,No,n/a,I do not identify as Jewish,No,No,No,n/a,A
18940,2,0,"84:Nonbinary,77:Woman",Friend or neighbor (word of mouth),1 to 3 years,Retired,No,South Korea,Korean,"Low salt,Low cholesterol,Low fat,Low sugar (diabetic)",Very satisfied,7 or more meals,100%,n/a,n/a,[List],"Rice Milk,Coconut Milk","Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,Supplemental Security Income (SSI)",No,Don't know,Don't know,No,No,No,No,n/a,n/a,n/a,No,n/a,n/a,A
19152-1338,1,none,55:Man,Social worker,1 to 3 years,Disabled,No,white,English,I have no special dietary needs,Very satisfied,7 or more meals,75%,"no beans, rice",I have enough food to eat each month,No,,"Yes, my food needs are being met",The quantity of food I receive is not sufficient,"Food stamps (SNAP),Social Security,Jewish Family and Children’s Services (JFCS),Energy Assistance (LIHEAP),Supplemental Security Income (SSI)",Yes,Never true,Never true,No,No,No,[List],Yes,Yes,No,No,Yes,add more things for the house items thank you.,A
19152,1,0,66:Man,Internet search,1 to 3 years,Disabled,No,United States,English,I have no special dietary needs,Satisfied,3-4 meals,50%,i have no stove microwave only,"I am able to pay my other bills (medical etc.),I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own,I am unable to get to the grocery store due to lack of transportation and JRA brings me food that I am unable to get on my own",No,,"No, my food needs are not being met","The quantity of food I receive is not sufficient,I am not able to prepare the food myself,no stove",Food stamps (SNAP),No,Often true,Often true,Yes:Almost every month,Yes,Yes,[List],No,No,No,No,Yes,thank you!,A
19152,1,0,n/a,Flyer or Publication,1 to 3 years,Retired,No,United States,English,"Low salt,Low fat",Very satisfied,7 or more meals,100%,n/a,I have access to more nutritious food,[List],Almond Milk,"Yes, my food needs are being met",n/a,Social Security,No,Never true,Never true,No,No,No,No,Yes,I do not identify as Jewish,No,No,Yes,n/a,A
19115,2,0,"47:Woman,75:Woman",Friend or neighbor (word of mouth),1 to 3 years,Disabled,No,United States,English,Low sugar (diabetic),Very satisfied,3-4 meals,75%,sardines,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own",[List],Almond Milk,"Yes, my food needs are being met",The quantity of food I receive is not sufficient,"Food stamps (SNAP),Mitzvah Food Program (food package),Supplemental Security Income (SSI)",No,Often true,Sometimes true,Yes:Some months but not every month,Yes,Don't know,[List],Yes,Yes,No,No,Yes,n/a,A
19007,5,1,"31:Man,32:Man,26:Man,26:Woman,8:Woman",Friend or neighbor (word of mouth),1 to 3 years,Employed,Yes,United States,English,I have no special dietary needs,Satisfied,1-2 meals,100%,n/a,I have access to more nutritious food,No,,"Yes, my food needs are being met","The quantity of food I receive is not sufficient,a bit more pasta will help",Energy Assistance (LIHEAP),No,Sometimes true,Sometimes true,No,No,No,[List],Yes,Yes,No,No,Yes,n/a,A
19152,2,0,"76:Man,74:Woman",Social worker,5 to 10 years,Retired,No,United States,English,I have no special dietary needs,Satisfied,5-6 meals,75%,can peaches pastas can carrots,"I have access to more nutritious food,I feel more food secure,I am able to pay my other bills (medical etc.),I have enough food to eat each month",No,,"Yes, my food needs are being met",n/a,Jewish Family and Children’s Services (JFCS),Yes,Sometimes true,Sometimes true,No,No,No,[List],Yes,Yes,No,No,Yes,n/a,A
19115,2,0,"87:Man,76:Woman",Friend or neighbor (word of mouth),Less than one year,Retired,No,n/a,n/a,"Low cholesterol,Low sugar (diabetic)",n/a,3-4 meals,100%,n/a,I have access to more nutritious food,No,,"Yes, my food needs are being met",n/a,Food stamps (SNAP),No,Often true,Don't know,No,No,No,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,n/a,A
19116,1,0,59:Woman,JCC,Less than one year,Disabled,No,United States,English,I have no special dietary needs,Very satisfied,1-2 meals,100%,n/a,I feel more food secure,[List],Almond Milk,"No, my food needs are not being met",The quantity of food I receive is not sufficient,Disability (SSD),Yes,Often true,Often true,Yes:Almost every month,Yes,Yes,No,I do not identify as Jewish,I do not identify as Jewish,n/a,n/a,n/a,n/a,A
19131,3,1,"55:Man,54:Woman,12:Man",Friend or neighbor (word of mouth),Less than one year,Disabled,No,United States,English,"Low salt,Low cholesterol,Low fat,Low sugar (diabetic)",Very satisfied,1-2 meals,100%,n/a,"I am unable to get to the grocery store due to lack of transportation and JRA brings me food that I am unable to get on my own,I have access to more nutritious food,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own,I feel more food secure,I am able to pay my other bills (medical etc.),I have enough food to eat each month",No,,"Yes, my food needs are being met",The quantity of food I receive is not sufficient,"Food stamps (SNAP),Disability (SSD)",No,Often true,Often true,Yes:Some months but not every month,Yes,Yes,No,n/a,Yes,No,No,Yes,n/a,A
19131,1,0,84:Woman,Social worker,5 to 10 years,Disabled,No,United States,English,Low salt,Very satisfied,5-6 meals,75%,n/a,"I am unable to get to the grocery store due to lack of transportation and JRA brings me food that I am unable to get on my own,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own,I have access to more nutritious food,I feel more food secure,I have enough food to eat each month,I am able to pay my other bills (medical etc.)",[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,PCA Services,Energy Assistance (LIHEAP)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,A
19027,1,0,75:Man,Social worker,3 to 5 years,Retired,No,United States,English,I have no special dietary needs,Satisfied,3-4 meals,75%,peas,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure,I have access to more nutritious food",[List],Coconut Milk,"Yes, my food needs are being met",n/a,"Social Security,Food stamps (SNAP),Free or reduced price lunch",No,Never true,Never true,No,No,No,No,n/a,Yes,No,No,No,n/a,A
19053,1,0,78:Woman,Social worker,Less than one year,Retired,No,United States,English,I have no special dietary needs,Satisfied,3-4 meals,75%,n/a,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure,I have access to more nutritious food",No,,"Yes, my food needs are being met",,Social Security,Yes,Don't know,Never true,Yes:Don't know,Don't know,No,[List],No,Yes,No,No,No,n/a,A
19152,1,n/a,46:Man,Social worker,5 to 10 years,Disabled,No,United States,English,I have no special dietary needs,Very satisfied,1-2 meals,50%,n/a,"I have enough food to eat each month,I feel more food secure,I have access to more nutritious food",[List],Almond Milk,"Yes, my food needs are being met",,Social Security,No,Sometimes true,Sometimes true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a,A
19131,1,0,96:Woman,Friend or neighbor (word of mouth),1 to 3 years,Retired,n/a,United States,English,I have no special dietary needs,Satisfied,5-6 meals,75%,use all of them,"I am unable to get to the grocery store due to lack of transportation and JRA brings me food that I am unable to get on my own,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own,I have access to more nutritious food,I feel more food secure,I have enough food to eat each month,I am able to pay my other bills (medical etc.)",No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security",n/a,Often true,Sometimes true,No,No,No,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,the JRA box of food helps me a lot. I thank you all and everyone that is a part of this organization. thanks again and again,A
19123,1,0,77:Woman,Friend or neighbor (word of mouth),1 to 3 years,Disabled,No,United States,Spanish,"Low cholesterol,Low sugar (diabetic)",Very satisfied,7 or more meals,100%,,"I have enough food to eat each month,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own",[List],Coconut Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security",No,Sometimes true,Don't know,No,Don't know,No,[List],Yes,Yes,Yes,No,Yes,n/a,A
19152,2,0,"90:Man,86:Woman",Social worker,1 to 3 years,"Retired,Disabled",No,United States,English,"Low salt,Low cholesterol,Low fat,Low sugar (diabetic)",Satisfied,3-4 meals,50%,n/a,"I am able to pay my other bills (medical etc.),I feel more food secure",No,,"No, my food needs are not being met","I have dietary restrictions (diabetes etc.),The quantity of food I receive is not sufficient","Food stamps (SNAP),Social Security",Yes,Sometimes true,Sometimes true,Yes:Some months but not every month,Yes,Yes,[List],Yes,Yes,No,No,Yes,n/a,A
19126,1,0,72:Man,Friend or neighbor (word of mouth),1 to 3 years,Retired,No,United States,English,I have no special dietary needs,Satisfied,5-6 meals,100%,n/a,I have access to more nutritious food,No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security",No,Never true,Never true,No,No,No,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,"thank you for your support, Amen!",A
19107,2,0,"76:Man,55:Man",Social worker,5 to 10 years,Disabled,No,United States,English,I have no special dietary needs,Satisfied,3-4 meals,75%,"salmon, corns, peas","I have enough food to eat each month,I feel more food secure",[List],Almond Milk,"No, my food needs are not being met","The quantity of food I receive is not sufficient,don't use canned veggies, too much sodium don't like salmon","Food stamps (SNAP),Social Security,Jewish Family and Children’s Services (JFCS),Energy Assistance (LIHEAP)",Yes,Sometimes true,Sometimes true,Yes:Some months but not every month,Yes,Yes,[List],Yes,Yes,No,No,Yes,n/a,A
19151,2,0,"63:Man,55:Woman",Friend or neighbor (word of mouth),1 to 3 years,Disabled,No,phila,English,I have no special dietary needs,Satisfied,3-4 meals,75%,n/a,"I have enough food to eat each month,I feel more food secure,I am able to pay my other bills (medical etc.),I have access to more nutritious food",No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,Earned Income Tax Credit",No,Often true,Often true,Yes:Almost every month,Yes,No,[List],Yes,Yes,No,No,Yes,n/a,A
19095,2,0,"73:Man,71:Woman",Flyer or Publication,1 to 3 years,"Retired,Disabled",No,United States,English,I have no special dietary needs,Satisfied,7 or more meals,100%,n/a,"I am able to pay my other bills (medical etc.),I feel more food secure,I have access to more nutritious food",[List],Coconut Milk,"Yes, my food needs are being met",,Social Security,No,Never true,Sometimes true,No,No,No,,n/a,n/a,No,n/a,Yes,dear JRA in the last year you have been like a good friend you are always welcome to our table come eat!,A
19114,1,0,57:Woman,volunteer,Less than one year,Unemployed,No,United States,English,Low sugar (diabetic),Very satisfied,1-2 meals,100%,n/a,I have enough food to eat each month,No,,"Yes, my food needs are being met",I have dietary restrictions (diabetes etc.),Food stamps (SNAP),No,Sometimes true,Often true,No,No,No,[List],No,No,No,No,Yes,The JRA is very good and the services are great,A
19027,1,0,84:Woman,Social worker,3 to 5 years,Retired,No,Argentina,Spanish,"Low salt,I have no special dietary needs",Satisfied,5-6 meals,75%,"gefilte fish, tuna fish","I have enough food to eat each month,I feel more food secure,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own",[List],"Coconut Milk,Almond Milk","No, my food needs are not being met","I am used to eat fresh veg, and fruits and fish","Hot meals at KleinLife or Federation Housing,Free or reduced price lunch,Social Security",No,Sometimes true,Sometimes true,No,Don't know,Don't know,[List],Yes,Yes,No,Yes,Yes,I am very happy every time I get the box. Thank you very much.,A
19152,3,0,"25:Woman,58:Woman,59:Man",Social worker,5 to 10 years,Employed,Yes,United States,Spanish,I have no special dietary needs,Very satisfied,5-6 meals,100%,n/a,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure,I have access to more nutritious food",No,,"Yes, my food needs are being met",n/a,I do not receive benefits from other agencies or individuals,No,Never true,Never true,No,No,No,[List],Yes,Yes,No,No,Yes,Thak you for the food box every month. It means a lot to us to have people who care and help us with food. JRA is a caring wonderful organization. It definitely helps a lot.,A
19003,2,0,"65:Woman,34:Woman",Social worker,1 to 3 years,Disabled,Yes,United States,English,I have no special dietary needs,Satisfied,3-4 meals,75%,peanuts and beans,"I am able to pay my other bills (medical etc.),I feel more food secure",[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security",Yes,Sometimes true,Sometimes true,Yes:Some months but not every month,Yes,Yes,No,,No,No,No,Yes,,A
19116,1,0,79:Woman,Social worker,3 to 5 years,Unemployed,n/a,United States,English,Low sugar (diabetic),Very satisfied,3-4 meals,75%,Jewish religious items,I have enough food to eat each month,No,,"Yes, my food needs are being met",n/a,Food stamps (SNAP),Yes,Never true,Never true,No,No,No,No,n/a,n/a,n/a,n/a,n/a,n/a,A
19001,4,0,"38:Woman,66:Woman,40:Woman,37:Man",family and friends,Less than one year,"Unemployed,Disabled",Yes,United States,English,"Low salt,Low sugar (diabetic)",Satisfied,3-4 meals,75%,too many apples,"I have enough food to eat each month,I feel more food secure",No,,"Yes, my food needs are being met","The quantity of food I receive is not sufficient,I do not like the food choices available","Food stamps (SNAP),Supplemental Security Income (SSI),Disability (SSD)",No,Sometimes true,Sometimes true,Yes:Only 1 or 2 months,Yes,No,[List],No,Yes,No,No,Yes,thank you,A
19053,1,0,71:Woman,Social worker,Less than one year,Retired,n/a,United States,English,I have no special dietary needs,Very satisfied,3-4 meals,75%,tuna fish,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure,I have access to more nutritious food",[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,Free or reduced price lunch,Energy Assistance (LIHEAP)",Yes,Never true,Never true,Yes:Only 1 or 2 months,Yes,No,[List],Yes,Yes,No,No,Yes,"I used to be a volunteer to pack and deliver the boxes. Since I now am the recipient, I want to say thank you for all you do to continue to help people who need your services.",A
19116,3,0,"63:Woman,64:Man,18:Man",Friend or neighbor (word of mouth),3 to 5 years,"Employed,Retired",Yes,n/a,English,Low sugar (diabetic),Very satisfied,5-6 meals,100%,,I am able to pay my other bills (medical etc.),[List],"Almond Milk,Coconut Milk","Yes, my food needs are being met",n/a,Mitzvah Food Program (food package),No,Don't know,Never true,No,No,No,[List],Yes,Yes,No,No,Yes,I appreciate everything the boxes are wonderful. Thank you.,A
19123,1,0,81:Woman,Friend or neighbor (word of mouth),1 to 3 years,Retired,No,United States,English,Low sugar (diabetic),Very satisfied,1-2 meals,100%,,"I have enough food to eat each month,I feel more food secure,I have access to more nutritious food",[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security",Yes,Never true,Sometimes true,No,No,No,No,n/a,I do not identify as Jewish,No,No,Yes,I feel like I am more connected to the community and I am so very grateful to your agency for all that you do for me and all the others that you help.,A
19123,1,0,:Man,n/a,Less than one year,n/a,n/a,n/a,Spanish,"Low fat,Gluten-free",Satisfied,7 or more meals,100%,,I feel more food secure,[List],Rice Milk,"Yes, my food needs are being met",The quantity of food I receive is not sufficient,"Food stamps (SNAP),Social Security,PCA Services,Free or reduced price lunch,Supplemental Security Income (SSI)",Yes,Sometimes true,Sometimes true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,A
19152,n/a,n/a,77,Social worker,5 to 10 years,Retired,No,United States,English,Low sugar (diabetic),Satisfied,1-2 meals,100%,,I feel more food secure,No,,"Yes, my food needs are being met",The quantity of food I receive is not sufficient,"Food stamps (SNAP),Supplemental Security Income (SSI)",Yes,Sometimes true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,Yes,n/a,A
19143,1,0,57:Man,Social worker,1 to 3 years,Disabled,No,United States,English,I have no special dietary needs,Very satisfied,5-6 meals,100%,gefilite fish or borscht/sephardic,"I have enough food to eat each month,I feel more food secure",No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Disability (SSD)",Yes,Sometimes true,Sometimes true,Yes:Some months but not every month,Yes,Yes,[List],Yes,Yes,No,No,Yes,If I am for no one then who will be for me?  If I am only for myself who and what am I? May Hashem keep and bless you all.,A
19115,2,0,"16:Man,67:Woman",Friend or neighbor (word of mouth),Less than one year,Disabled,No,Albania,Albanian,Low cholesterol,Very satisfied,3-4 meals,100%,n/a,"I have enough food to eat each month,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own",[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Supplemental Security Income (SSI)",Yes,Sometimes true,Sometimes true,Don't know,Yes,Don't know,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,Really satistified. Thank you so much. We really appreciate.,A
19053,1,0,66:Man,Friend or neighbor (word of mouth),1 to 3 years,Retired,No,Ukraine,Russian,Low cholesterol,Satisfied,3-4 meals,100%,n/a,I feel more food secure,[List],"Almond Milk,Coconut Milk","Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security",No,Sometimes true,Sometimes true,No,No,No,[List],Yes,Yes,No,No,Yes,n/a,A
19111-2945,1,0,44:Woman,Internet search,1 to 3 years,Disabled,No,United States,English,"Low salt,Low cholesterol,Low fat,Low sugar (diabetic)",Very satisfied,3-4 meals,100%,n/a,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure,I have access to more nutritious food",[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),I do not receive benefits from other agencies or individuals",No,Sometimes true,Sometimes true,Yes:Almost every month,Yes,Yes,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,"Please keep up the excellent work, any help I get from the JRA is a true blessing to me. Cori Christine Banks",A
19116,1,0,90:Woman,Social worker,1 to 3 years,Retired,n/a,United States,English,"Low salt,Low sugar (diabetic)",Satisfied,3-4 meals,75%,Sauces,"I feel more food secure,I have access to more nutritious food",[List],Almond Milk,"No, my food needs are not being met",I have dietary restrictions (diabetes etc.),Social Security,No,Never true,Never true,No,No,No,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,Would like to have ore fresh vegetables and fruits.,A
19053,4,0,"52:Woman,56:Man,24:Man,20:Man",Social worker,3 to 5 years,Disabled,Yes,n/a,English,I have no special dietary needs,Satisfied,3-4 meals,75%,n/a,"I have enough food to eat each month,I feel more food secure,I have access to more nutritious food,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own,I am unable to get to the grocery store due to lack of transportation and JRA brings me food that I am unable to get on my own",[List],Almond Milk,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,"Sanda Byron likes JRA box of food. I like the ceal grape juice, the potato pancakes. Please put 2 bottles of grape juice ceal and box of cookies in the JRA box of food. ok? thank you",A
19152,1,0,74:Woman,Friend or neighbor (word of mouth),1 to 3 years,Retired,n/a,United States,English,I have no special dietary needs,Very satisfied,3-4 meals,75%,"tuna, pink salmon","I am able to pay my other bills (medical etc.),I feel more food secure",No,,"Yes, my food needs are being met",n/a,I do not receive benefits from other agencies or individuals,No,n/a,n/a,No,No,No,[List],I do not identify as Jewish,I do not identify as Jewish,No,n/a,Yes,"I like most of the things in the box. I do not eat tuna fish but love salmon just not the pink salmon, love red salmon. ",A
19006,2,0,"69:Woman,71:Man",Social worker,Less than one year,Retired,No,Korean,English,"Low salt,Low cholesterol,Low fat,Low sugar (diabetic)",Very satisfied,3-4 meals,50%,n/a,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure,I have access to more nutritious food",No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,Energy Assistance (LIHEAP)",No,Sometimes true,Sometimes true,No,No,No,No,No,Yes,No,No,Yes,Thank you so much. We enjoy JRA food box.,A
